name_list,location_list,price_list,built_year_list,floor_list,bedroom_list,bathroom_list,area_list,distance_to_transport_list,facilities_list
แมกโนเลียส์ ราชดำริ,"ลุมพินี, กรุงเทพ","฿24,000,000",สร้างเสร็จในปี 2014,40,2 ห้องนอน,2 ห้องน้ำ,86 ม.2,330 ม. จาก BTS ราชดำริ,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
พลัมคอนโด ปิ่นเกล้า สเตชั่น,"ปิ่นเกล้า, กรุงเทพ","฿2,390,000",สร้างเสร็จในปี 2018ตู้เย็นไมโครเวฟเตาไฟฟ้าระเบียงทีวี,3,1 ห้องนอน,1 ห้องน้ำ,26 ม.2,600 ม. จาก MRT บางยี่ขัน,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ห้องสมุด', 'ฟิตเนส', 'ฟิตเนส']"
ซี เอกมัย,"สุขุมวิท, กรุงเทพ","฿4,200,000",สร้างเสร็จในปี 2019,11-20,1 ห้องนอน,1 ห้องน้ำ,30.45 ม.2,1170 ม. จาก ARL รามคำแหง,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'สนามเด็กเล่น', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถกลางแจ้ง']"
ไอดีโอ โมบิ สาทร,"กรุงธนบุรี, กรุงเทพ","฿3,890,000",สร้างเสร็จในปี 2014,12,1 ห้องนอน,1 ห้องน้ำ,27.1 ม.2,80 ม. จาก BTS กรุงธนบุรี,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'มินิมาร์ทใกล้เคียง', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องซักรีด']"
เดอะ คีย์ บีทีเอส วุฒากาศ,"บางค้อ, กรุงเทพ","฿2,990,000",สร้างเสร็จในปี 2015ระเบียง,17,1 ห้องนอน,1 ห้องน้ำ,33 ม.2,130 ม. จาก BTS วุฒากาศ,"['สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องสมุด', 'ห้องซักรีด', 'ลานจอดรถกลางแจ้ง', 'ลานจอดรถในร่ม', 'ลานจอดรถ', 'ฟิตเนส', 'ร้านสะดวกซื้อใกล้เคียง']"
แฮปปี้ คอนโด ลาดพร้าว 101,"คลองเจ้าคุณสิงห์, กรุงเทพ","฿2,500,000",สร้างเสร็จในปี 2010ตู้เย็นเตาไฟฟ้าอ่างอาบน้ำทีวี,5,1 ห้องนอน,1 ห้องน้ำ,38 ม.2,,"['สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ภัตตาคารใกล้เคียง', 'ลานจอดรถในร่ม', 'ร้านสะดวกซื้อใกล้เคียง', 'ฟิตเนส', 'ลานจอดรถ', 'ฟิตเนส', 'สถานออกกำลังกาย']"
ไนท์บริดจ์ ไพรม์ สาทร,"ถนนนราธิวาสราชนครินทร์, กรุงเทพ","฿7,100,000",สร้างเสร็จในปี 2019,40,1 ห้องนอน,1 ห้องน้ำ,37.28 ม.2,870 ม. จาก BTS ช่องนนทรี,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ศาลา', 'ลานจอดรถใต้ดิน', 'ระบบรักษาความปลอดภัย 24 ชม.', 'เลานจ์']"
ศุภาลัย ริเวอร์ รีสอร์ท เจริญนคร,"สำเหร่, กรุงเทพ","฿3,200,000",สร้างเสร็จในปี 2013,14,1 ห้องนอน,1 ห้องน้ำ,38 ม.2,1520 ม. จาก BTS วงเวียนใหญ่,"['เซาว์น่า', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'ร้านอาหารใกล้เคียง', 'ระบบรักษาความปลอดภัย 24 ชม.', 'มินิมาร์ทใกล้เคียง']"
ไนท์บริดจ์ ไพรม์ สาทร,"ถนนนราธิวาสราชนครินทร์, กรุงเทพ","฿7,100,000",สร้างเสร็จในปี 2019,40,1 ห้องนอน,1 ห้องน้ำ,37.28 ม.2,870 ม. จาก BTS ช่องนนทรี,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ศาลา', 'ลานจอดรถใต้ดิน', 'ระบบรักษาความปลอดภัย 24 ชม.', 'เลานจ์']"
นอตติ้ง ฮิลล์ สุขุมวิท 105,"ลาซาล, กรุงเทพ","฿2,250,000",สร้างเสร็จในปี 2019ตู้เย็นเตาไฟฟ้าทีวี,5,1 ห้องนอน,1 ห้องน้ำ,25 ม.2,490 ม. จาก BTS แบริ่ง,"['สระว่ายน้ำ', 'เซาว์น่า', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ห้องอบไอน้ำ', 'ห้องสมุด', 'สถานออกกำลังกาย', 'ฟิตเนส', 'สนามเด็กเล่น']"
เดอะ เบส พาร์ค อีสท์ สุขุมวิท 77,"พระโขนงเหนือ, กรุงเทพ","฿3,400,000",สร้างเสร็จในปี 2015,19,1 ห้องนอน,1 ห้องน้ำ,31 ม.2,870 ม. จาก BTS อ่อนนุช,"['สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
ยู ดีไลท์ ตลาดพลู สเตชั่น,"ราชพฤกษ์, กรุงเทพ","฿2,590,000",สร้างเสร็จในปี 2017,30,1 ห้องนอน,1 ห้องน้ำ,30 ม.2,570 ม. จาก BTS ตลาดพลู,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'เซาว์น่า', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องอบไอน้ำ']"
เลค อเวนิว คอนโดมิเนียม,"พร้อมพงษ์, กรุงเทพ","฿11,500,000",ระเบียง,2,2 ห้องนอน,2 ห้องน้ำ,126 ม.2,540 ม. จาก BTS อโศก,"['สระว่ายน้ำ', 'เซาว์น่า', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องสัมนา', 'ลานจอดรถกลางแจ้ง', 'ลานจอดรถในร่ม', 'ลานจอดรถ', 'ฟิตเนส', 'ฟิตเนส']"
บางกอก การ์เด้น,"ช่องนนทรี, กรุงเทพ","฿10,000,000",สร้างเสร็จในปี 1998,13,2 ห้องนอน,2 ห้องน้ำ,100 ม.2,,"['เซาว์น่า', 'สระว่ายน้ำ', 'สถานออกกำลังกาย', 'ระบบรักษาความปลอดภัย 24 ชม.', 'จากุซซี่']"
คอนโด 1 นอน ตกแต่งสวย ใกล้ BTS อ่อนนุช,"สวนหลวง, กรุงเทพ","฿2,355,000",,10,1 ห้องนอน,1 ห้องน้ำ,27.5 ม.2,790 ม. จาก BTS อ่อนนุช,
วีคอนโด,"ลำปลาทิว, กรุงเทพ","฿2,990,000",สร้างเสร็จในปี 2016ตู้เย็นเตาไฟฟ้าทีวี,6,2 ห้องนอน,1 ห้องน้ำ,51.88 ม.2,,"['สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องสมุด', 'บริการรถรับส่ง', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'สนามปั่นจักรยาน']"
ออกัสตัน สุขุมวิท 22,"พร้อมพงษ์, กรุงเทพ","฿27,291,000",สร้างเสร็จในปี 2010ตู้เย็นไมโครเวฟตู้เสื้อผ้าวอล์คอินระเบียงทีวี,32,3 ห้องนอน,4 ห้องน้ำ,152 ม.2,500 ม. จาก MRT ศูนย์การประชุมแห่งชาติสิริกิติ์,"['สระว่ายน้ำ', 'สวน', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'สถานออกกำลังกาย']"
ไทดี้ ทองหล่อ คอนโดมิเนียม,"ทองหล่อ, กรุงเทพ","฿4,800,000",สร้างเสร็จในปี 2011ไมโครเวฟเตาไฟฟ้าทีวี,8,1 ห้องนอน,1 ห้องน้ำ,40 ม.2,1300 ม. จาก BTS ทองหล่อ,"['สระว่ายน้ำ', 'สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ลานจอดรถ', 'ฟิตเนส', 'สถานออกกำลังกาย']"
คาซ่า คอนโด รัชดา ราชพฤกษ์,"ดาวคะนอง, กรุงเทพ","฿2,195,000",สร้างเสร็จในปี 2014,22,1 ห้องนอน,1 ห้องน้ำ,26.55 ม.2,90 ม. จาก BTS ตลาดพลู,"['สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
เดอะเน็กซ์ การ์เด้น มิกซ์,"บางจากภาษีเจริญ, กรุงเทพ","฿4,300,000",,6,1 ห้องนอน,1 ห้องน้ำ,43 ม.2,320 ม. จาก BTS อ่อนนุช,"['สร้างเสร็จในปี 2011</li></ul>', '<ul class=""list-features""><li>สร้างเสร็จในปี 2011']"
เชปเตอร์ วัน อีโค่ รัชดา ห้วยขวาง,"ห้วยขวาง, กรุงเทพ","฿2,690,000",สร้างเสร็จในปี 2019,14,1 ห้องนอน,1 ห้องน้ำ,23.5 ม.2,1010 ม. จาก MRT ห้วยขวาง,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'มินิมาร์ทใกล้เคียง', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สนามเด็กเล่น']"
เอ็ม โซไซตี้,นนทบุรี,"฿2,290,000",สร้างเสร็จในปี 2012ตู้เย็นทีวี,23,2 ห้องนอน,1 ห้องน้ำ,55.5 ม.2,,"['สระว่ายน้ำ', 'สนามเด็กเล่น', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องสมุด', 'ฟิตเนส', 'ลานจอดรถในร่ม']"
คอนโด 1 นอน ห้องใหญ่,"ลาดยาว, กรุงเทพ","฿2,350,000",,6,1 ห้องนอน,1 ห้องน้ำ,57 ม.2,,
แอชตัน จุฬา สีลม,"สามย่าน, กรุงเทพ","฿6,290,000",สร้างเสร็จในปี 2018,29,1 ห้องนอน,1 ห้องน้ำ,24.5 ม.2,150 ม. จาก MRT สามย่าน,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
ริเวอร์ เฮเว่น เจริญกรุง คอนโดมิเนียม,"บางคอแหลม, กรุงเทพ","฿8,000,000",สร้างเสร็จในปี 2004,17,2 ห้องนอน,2 ห้องน้ำ,102 ม.2,2070 ม. จาก BTS กรุงธนบุรี,"['เซาว์น่า', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'มินิมาร์ทใกล้เคียง', 'ระบบรักษาความปลอดภัย 24 ชม.', 'เตาบาร์บีคิว']"
มูน ทาวเวอร์ คอนโดมิเนียม,"ทองหล่อ, กรุงเทพ","฿30,000,000",ตู้เย็นไมโครเวฟ,11,3 ห้องนอน,3 ห้องน้ำ,295 ม.2,420 ม. จาก BTS ทองหล่อ,"['สระว่ายน้ำ', 'สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ฟิตเนส', 'ลานจอดรถในร่ม']"
เดอะรูม รัชดา ลาดพร้าว,"จันทรเกษม, กรุงเทพ","฿5,361,000",สร้างเสร็จในปี 2009,16,2 ห้องนอน,1 ห้องน้ำ,62 ม.2,710 ม. จาก MRT รัชดาภิเษก,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
แอสปาย พระราม 9,"พระราม 9, กรุงเทพ","฿3,290,000",สร้างเสร็จในปี 2014ตู้เย็นไมโครเวฟระเบียงทีวี,9,1 ห้องนอน,1 ห้องน้ำ,39 ม.2,390 ม. จาก MRT พระราม 9,"['สระว่ายน้ำ', 'สวน', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ลานจอดรถ', 'ฟิตเนส', 'สถานออกกำลังกาย']"
คลองจั่น เพลส คอนโดมิเนียม,"คลองจั่น, กรุงเทพ","฿2,350,000",,9,3 ห้องนอน,1 ห้องน้ำ,66 ม.2,,
ศุภาลัย เวอเรนด้า รามคำแหง,"รามคำแหง, กรุงเทพ","฿2,569,000",สร้างเสร็จในปี 2022,32,1 ห้องนอน,1 ห้องน้ำ,28 ม.2,,"['เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'สนามเด็กเล่น', 'ห้องประชุมหลายห้อง', 'ห้องประชุม', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สนามบาสเกตบอล']"
ศุภาลัย เวอเรนด้า,นนทบุรี,"฿3,424,000",สร้างเสร็จในปี 2014,20,1 ห้องนอน,1 ห้องน้ำ,43 ม.2,780 ม. จาก MRT แยกติวานนท์,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
คอนโด 1 นอน วิวเมือง,"สาธุประดิษฐ์, กรุงเทพ","฿2,100,000",,20,1 ห้องนอน,1 ห้องน้ำ,35 ม.2,,
โนเบิล โซโล,"ทองหล่อ, กรุงเทพ","฿7,800,000",สร้างเสร็จในปี 2010,11,1 ห้องนอน,1 ห้องน้ำ,53 ม.2,1650 ม. จาก ARL รามคำแหง,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
เดอะ แคปปิตอล เอกมัย ทอหล่อ,"บางกะปิ, กรุงเทพ","฿30,000,000",สร้างเสร็จในปี 2015,6,3 ห้องนอน,4 ห้องน้ำ,200 ม.2,1410 ม. จาก ARL รามคำแหง,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'ระบบรักษาความปลอดภัย 24 ชม.', 'กล้องวงจรปิด']"
คอนโด โนเบิล อราวน์ สุขุมวิท 33,"พร้อมพงษ์, กรุงเทพ","฿5,190,000",สร้างเสร็จในปี 2020,18,1 ห้องนอน,1 ห้องน้ำ,27 ม.2,610 ม. จาก BTS พร้อมพงษ์,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'ฟิตเนส', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ห้องอบไอน้ำ', 'ศาลา', 'ลานจอดรถใต้ดิน', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สกายเลานจ์']"
บริกซ์ จรัญสนิทวงศ์ 64,"บางยี่ขัน, กรุงเทพ","฿4,000,000",สร้างเสร็จในปี 2018,5,2 ห้องนอน,1 ห้องน้ำ,43 ม.2,40 ม. จาก MRT สิรินธร,"['ห้องสมุด', 'เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'มินิมาร์ทใกล้เคียง', 'สนามเด็กเล่น', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องอบไอน้ำ']"
ดี เอส ทาวเวอร์ 1 สุขุมวิท 33 คอนโดมิเนียม,"พร้อมพงษ์, กรุงเทพ","฿45,000,000",ทีวี,30,4 ห้องนอน,4 ห้องน้ำ,513 ม.2,750 ม. จาก BTS พร้อมพงษ์,"['สระว่ายน้ำ', 'สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ฟิตเนส', 'ลานจอดรถในร่ม']"
เดอะ เม็ท สาทร,"ทุ่งมหาเมฆ, กรุงเทพ","฿17,000,000",สร้างเสร็จในปี 2009,20,2 ห้องนอน,2 ห้องน้ำ,93 ม.2,540 ม. จาก BTS ช่องนนทรี,"['ห้องสมุด', 'เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'สนามเด็กเล่น', 'ห้องประชุมหลายห้อง', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องประชุม']"
คอนโด 1 นอน วิวดี ใกล้ BTS พระโขนง,"พระราม 4, กรุงเทพ","฿6,370,000",,16,1 ห้องนอน,1 ห้องน้ำ,48 ม.2,220 ม. จาก BTS พระโขนง,
ศุภาลัย พรีเมียร์ เจริญนคร,"คลองสาน, กรุงเทพ","฿5,250,000",สร้างเสร็จในปี 2021,8,1 ห้องนอน,1 ห้องน้ำ,51.5 ม.2,1130 ม. จาก BTS กรุงธนบุรี,"['สระว่ายน้ำ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'สนามเด็กเล่น', 'ห้องประชุมหลายห้อง', 'ห้องประชุม', 'ที่จอดรถหลายชั้น', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สกายเลานจ์']"
พาร์โก้ คอนโดมิเนียม,"ทุ่งมหาเมฆ, กรุงเทพ","฿49,000,000",สร้างเสร็จในปี 2013ตู้เย็นไมโครเวฟเตาไฟฟ้าระเบียงทีวี,27,4 ห้องนอน,5 ห้องน้ำ,228 ม.2,1900 ม. จาก MRT ลุมพินี,"['สระว่ายน้ำ', 'สวน', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ฟิตเนส', 'ลานจอดรถในร่ม']"
นิช ไพรด์ เตาปูน อินเตอร์เชนจ์,"เตาปูน, กรุงเทพ","฿7,200,000",สร้างเสร็จในปี 2020,9,2 ห้องนอน,1 ห้องน้ำ,49 ม.2,120 ม. จาก MRT เตาปูน,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'มินิมาร์ทใกล้เคียง', 'สนามเด็กเล่น', 'ศาลา', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องสัมนา']"
เดอะฟายน์ แบงค็อค ทองหล่อ เอกมัย,"สุขุมวิท, กรุงเทพ","฿25,750,000",สร้างเสร็จในปี 2020,28,3 ห้องนอน,2 ห้องน้ำ,92 ม.2,1200 ม. จาก BTS ทองหล่อ,"['เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'สนามเด็กเล่น', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สนามกอล์ฟมินิ']"
ริธึ่ม สุขุมวิท 50,"พระโขนงใต้, กรุงเทพ","฿6,200,000",สร้างเสร็จในปี 2013,9,1 ห้องนอน,1 ห้องน้ำ,45 ม.2,200 ม. จาก BTS อ่อนนุช,"['เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
เดอะ เบส เพชรบุรี ทองหล่อ,"บางกะปิ, กรุงเทพ","฿3,390,000",สร้างเสร็จในปี 2022,32,1 ห้องนอน,1 ห้องน้ำ,29 ม.2,1950 ม. จาก ARL รามคำแหง,"['ห้องสมุด', 'เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'ร้านอาหารใกล้เคียง', 'ระบบรักษาความปลอดภัย 24 ชม.', 'มินิมาร์ทใกล้เคียง']"
ศุภาลัย วิสต้า ติวานนท์,นนทบุรี,"฿3,246,475",สร้างเสร็จในปี 2015ตู้เย็นเตาไฟฟ้าระเบียง,17,1 ห้องนอน,1 ห้องน้ำ,48 ม.2,440 ม. จาก MRT แยกติวานนท์,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ภัตตาคารใกล้เคียง', 'ร้านค้าใกล้เคียง', 'ฟิตเนส', 'ลานจอดรถในร่ม']"
ชีวาทัย เพชรเกษม 27,"บางหว้า, กรุงเทพ","฿2,580,000",สร้างเสร็จในปี 2017ตู้เย็นไมโครเวฟเตาไฟฟ้าระเบียงทีวี,5,1 ห้องนอน,1 ห้องน้ำ,27 ม.2,420 ม. จาก MRT บางหว้า,"['สระว่ายน้ำ', 'สวน', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ฟิตเนส', 'ลานจอดรถ']"
ชาโตว์ อินทาวน์ วิภาวดี 10,"ดินแดง, กรุงเทพ","฿2,750,000",,4,1 ห้องนอน,1 ห้องน้ำ,35.01 ม.2,1200 ม. จาก MRT สุทธิสาร,"['สร้างเสร็จในปี 2014</li></ul>', '<ul class=""list-features""><li>สร้างเสร็จในปี 2014']"
คีนน์ บาย แสนสิริ,"พร้อมพงษ์, กรุงเทพ","฿6,500,000",สร้างเสร็จในปี 2013,20,1 ห้องนอน,1 ห้องน้ำ,35 ม.2,190 ม. จาก BTS ทองหล่อ,"['ลานจอดรถในร่ม', 'เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
อมันตา ลุมพินี,"พระราม 4, กรุงเทพ","฿10,000,000",สร้างเสร็จในปี 2013ตู้เย็นเตาไฟฟ้าระเบียงทีวี,16,1 ห้องนอน,1 ห้องน้ำ,64 ม.2,290 ม. จาก MRT คลองเตย,"['สระว่ายน้ำ', 'สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องสมุด', 'ฟิตเนส', 'ลานจอดรถในร่ม']"
ไฮ สุทธิสาร คอนโด,"สามเสนนอก, กรุงเทพ","฿2,190,000",สร้างเสร็จในปี 2019,8,1 ห้องนอน,1 ห้องน้ำ,30.21 ม.2,1570 ม. จาก MRT สุทธิสาร,"['สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
คอนโด 1 นอน ห้องใหญ่,"หาดกะรน, ภูเก็ต","฿8,300,000",,8,1 ห้องนอน,1 ห้องน้ำ,56.4 ม.2,,
เดอะ ไลน์ จตุจักร หมอชิต,"จอมพล, กรุงเทพ","฿5,700,000",สร้างเสร็จในปี 2018ตู้เย็นไมโครเวฟระเบียงทีวี,10,1 ห้องนอน,1 ห้องน้ำ,35 ม.2,460 ม. จาก BTS หมอชิต,"['สระว่ายน้ำ', 'สวน', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ฟิตเนส', 'ลานจอดรถ', 'ห้องอบไอน้ำ', 'สนามเด็กเล่น', 'ฟิตเนส', 'ลานจอดรถกลางแจ้ง']"
The River Condominium เดอะ ริเวอร์ คอนโดมิเนียม,"สะพานตากสิน, กรุงเทพ","฿36,200,000",สร้างเสร็จในปี 2012อ่างอาบน้ำ,16,3 ห้องนอน,4 ห้องน้ำ,186 ม.2,510 ม. จาก BTS สะพานตากสิน,"['สระว่ายน้ำ', 'สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ลานจอดรถ', 'ฟิตเนส', 'สถานออกกำลังกาย']"
ไลฟ์ ลาดพร้าว,"จอมพล, กรุงเทพ","฿9,090,000",สร้างเสร็จในปี 2020,23,2 ห้องนอน,2 ห้องน้ำ,65.78 ม.2,100 ม. จาก BTS ห้าแยกลาดพร้าว,"['เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'มินิมาร์ทใกล้เคียง', 'สนามเด็กเล่น', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องอบไอน้ำ']"
เดอะ เมเปิ้ล แอท รัชดา ลาดพร้าว,"จอมพล, กรุงเทพ","฿2,900,000",สร้างเสร็จในปี 2017ตู้เย็นเตาไฟฟ้าทีวี,8,1 ห้องนอน,1 ห้องน้ำ,30 ม.2,460 ม. จาก MRT รัชดาภิเษก,"['สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องสมุด', 'ลานจอดรถในร่ม', 'ห้องสมุด', 'ลานจอดรถ', 'ฟิตเนส', 'สถานออกกำลังกาย']"
กะตะ โอเชียน วิว คอนโดมิเนียม,"กะรน, ภูเก็ต","฿4,990,000",สร้างเสร็จในปี 2012,8,2 ห้องนอน,2 ห้องน้ำ,92 ม.2,,"['ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม']"
อัลติจูด ยูนิคอร์น สาทร ท่าพระ,"ตลาดพลู, กรุงเทพ","฿7,200,000",สร้างเสร็จในปี 2021,33,2 ห้องนอน,1 ห้องน้ำ,57 ม.2,250 ม. จาก BTS ตลาดพลู,"['สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'ลู่วิ่ง', 'ห้องอบไอน้ำ', 'ห้องประชุมหลายห้อง', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องประชุม']"
อคาเดเมีย แกรนด์ ทาวเวอร์,"พร้อมพงษ์, กรุงเทพ","฿13,000,000",สร้างเสร็จในปี 1997,11,3 ห้องนอน,3 ห้องน้ำ,150 ม.2,320 ม. จาก BTS พร้อมพงษ์,"['สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
คอนโด 1 นอน ชั้นสูง ใกล้ BTS โพธิ์นิมิตร,"วัดท่าพระ, กรุงเทพ","฿2,990,000",,18,1 ห้องนอน,1 ห้องน้ำ,32 ม.2,420 ม. จาก MRT ท่าพระ,
